included in data,Item type,Authors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Address,Book title,Proceedings title,Conference location,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,"Dietl W,Drossopoulou S,Müller P",Separating Ownership Topology and Encapsulation with Generic Universe Types,ACM Trans. Program. Lang. Syst.,2012,33,6,,Association for Computing Machinery,"New York, NY, USA",,,,2012-01,,0164-0925,https://doi.org/10.1145/2049706.2049709;http://dx.doi.org/10.1145/2049706.2049709,10.1145/2049706.2049709,"Ownership is a powerful concept to structure the object store and to control aliasing and modifications of objects. This article presents an ownership type system for a Java-like programming language with generic types.Like our earlier Universe type system, Generic Universe Types structure the heap hierarchically. In contrast to earlier work, we separate the enforcement of an ownership topology from an encapsulation system. The topological system uses an existential modifier to express that no ownership information is available statically. On top of the topological system, we build an encapsulation system that enforces the owner-as-modifier discipline. This discipline does not restrict aliasing, but requires modifications of an object to be initiated by its owner. This allows owner objects to control state changes of owned objects—for instance, to maintain invariants. Separating the topological system from the encapsulation system allows for a cleaner formalization, separation of concerns, and simpler reuse of the individual systems in different contexts.","ownership types, owner-as-modifier, generic, Encapsulation, universe types, topology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Sunshine J,Aldrich J",Usability Hypotheses in the Design of Plaid,,2014,,,63–66,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 5th Workshop on Evaluation and Usability of Programming Languages and Tools,"Portland, Oregon, USA",2014,9781450322775,,https://doi.org/10.1145/2688204.2688219;http://dx.doi.org/10.1145/2688204.2688219,10.1145/2688204.2688219,"Plaid is a research programming language with a focus on typestate, permissions, and concurrency. Typestate describes ordering constraints on method calls to an object; Plaid incorporates typestate into both its object model and its type system. Permissions, incorporated into Plaid's type system and runtime, describe whether a reference can be aliased and whether aliases can change that reference. Permissions support static typestate checking, but they also allow Plaid's compiler to automatically parallelize Plaid code.In this paper, we describe the usability-related hypotheses that drove the design of Plaid. We describe the evidence, both informal and scientific, that inspired and (in some cases) validated these hypotheses, and reflect on our experience designing and validating the language.","programmability, permissions, typestate",PLATEAU '14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Militão F,Aldrich J,Caires L",Substructural Typestates,,2014,,,15–26,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the ACM SIGPLAN 2014 Workshop on Programming Languages Meets Program Verification,"San Diego, California, USA",2014,9781450325677,,https://doi.org/10.1145/2541568.2541574;http://dx.doi.org/10.1145/2541568.2541574,10.1145/2541568.2541574,"Finding simple, yet expressive, verification techniques to reason about both aliasing and mutable state has been a major challenge for static program verification. One such approach, of practical relevance, is centered around a lightweight typing discipline where types denote abstract object states, known as typestates.In this paper, we show how key typestate concepts can be precisely captured by a substructural type-and-effect system, exploiting ideas from linear and separation logic. Building on this foundation, we show how a small set of primitive concepts can be composed to express high-level idioms such as objects with multiple independent state dimensions, dynamic state tests, and behavior-oriented usage protocols that enforce strong information hiding. By exploring the relationship between two mainstream modularity concepts, state abstraction and hiding, we also provide new insights on how they naturally fit together and complement one another.Technically, our results are based on a typed lambda calculus with mutable references, location-dependent types, and second-order polymorphism. The soundness of our type system is shown through progress and preservation theorems. We also describe a prototype implementation of a type checker for our system, which is available on the web and can be used to experiment with the examples in the paper.","linearity, capabilities, typestate, aliasing",PLPV '14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Hong J,Park J,Ryu S",Path Dependent Types with Path-Equality,,2018,,,35–39,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 9th ACM SIGPLAN International Symposium on Scala,"St. Louis, MO, USA",2018,9781450358361,,https://doi.org/10.1145/3241653.3241657;http://dx.doi.org/10.1145/3241653.3241657,10.1145/3241653.3241657,"While the Scala type system provides expressive features like objects with type members, the lack of equality checking between path-dependent types prohibits some programming idioms. One such an example is abstract domain combinators in implementing static analyzers. In this paper, we propose to extend the Scala type system with path-equality, and formalize it as a DOT variant, π DOT, which supports records with type members and elds. We show that π DOT has the normalization property and prove its type soundness.","path equality, Scala, DOT",Scala 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Wang Q,Schewe KD",A Typed Higher-Order Calculus for Querying XML Databases,,2008,,,115–125,"Australian Computer Society, Inc.",AUS,,Proceedings of the Nineteenth Conference on Australasian Database - Volume 75,"Gold Coast, Australia",2008,9781920682569,,,,"As the eXtensible Markup Language (XML) is about to emerge as a new standard for databases, the problem of providing solid logical grounds for XML query languages arises. For the relational data model first-order logic, i.e. the Relational Calculus turned out to be an intuitive basic approach to provide these foundations. For XML, however, it is necessary to deal with ordered trees. In this paper the problem is approached by viewing XML as a data model based on complex objects that are arranged in a class hierarchy. This results in the natural development of a higher-order type system for XML data, and henceforth a higher-order predicate typed logic, the XML calculus (XMLC). The paper presents the basics of the XML object model (XOM), the syntacs and semantics of XMLC, and discusses the expressiveness of the language by means of representative important query samples.","higher-order logic, eXten-sible markup language, query language, object model, type system",ADC '08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Aldrich J,Garcia R,Hahnenberg M,Mohr M,Naden K,Saini D,Stork S,Sunshine J,Tanter É,Wolff R",Permission-Based Programming Languages (NIER Track),,2011,,,828–831,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 33rd International Conference on Software Engineering,"Waikiki, Honolulu, HI, USA",2011,9781450304450,,https://doi.org/10.1145/1985793.1985915;http://dx.doi.org/10.1145/1985793.1985915,10.1145/1985793.1985915,"Linear permissions have been proposed as a lightweight way to specify how an object may be aliased, and whether those aliases allow mutation. Prior work has demonstrated the value of permissions for addressing many software engineering concerns, including information hiding, protocol checking, concurrency, security, and memory management.We propose the concept of a permission-based programming language - a language whose object model, type system, and runtime are all co-designed with permissions in mind. This approach supports an object model in which the structure of an object can change over time, a type system that tracks changing structure in addition to addressing the other concerns above, and a runtime system that can dynamically check permission assertions and leverage permissions to parallelize code. We sketch the design of the permission-based programming language Plaid, and argue that the approach may provide significant software engineering benefits.","programming languages, permissions, types",ICSE '11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Chandra S,Saraswat V,Sarkar V,Bodik R",Type Inference for Locality Analysis of Distributed Data Structures,,2008,,,11–22,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 13th ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,"Salt Lake City, UT, USA",2008,9781595937957,,https://doi.org/10.1145/1345206.1345211;http://dx.doi.org/10.1145/1345206.1345211,10.1145/1345206.1345211,"In languages with distributed heap data structures, the type system typically conveys only coarse locality information: whether a reference is local or possibly remote. Often, of interest to the optimizing compiler or the user is a more fine-grain information, such as whether two remote references point to objects in the same partition of the distributed heap.This paper proposes a dependent type system, called place types, to capture such fine-grain locality information. The type of each reference identifies the heap partition, called a place, that the reference points to. This type system is expressive enough to statically type several commonly used distributed data structures. It also accommodates a \dynamic\"" type when no suitable static type exists. We show how to embed this type system as type annotations in the X10 programming language.We also present a type inference algorithm for saving programmers from the burden of inserting type annotations. The type inference has been inspired by the use of type inference in functional programming languages such as ML. We have implemented the type inference algorithm in the X10 compiler. Experiments with small programs",but with the full set the relevant language features,"have been successful in automatically finding the expected place types in these programs.""","unification, type inference, partitioned global address space, equality-based constraint system, x10",PPoPP '08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,"Apel S,Hutchins D",A Calculus for Uniform Feature Composition,ACM Trans. Program. Lang. Syst.,2008,32,5,,Association for Computing Machinery,"New York, NY, USA",,,,2008-05,,0164-0925,https://doi.org/10.1145/1745312.1745316;http://dx.doi.org/10.1145/1745312.1745316,10.1145/1745312.1745316,"The goal of feature-oriented programming (FOP) is to modularize software systems in terms of features. A feature refines the content of a base program. Both base programs and features may contain various kinds of software artifacts, for example, source code in different languages, models, build scripts, and documentation. We and others have noticed that when composing features, different kinds of software artifacts can be refined in a uniform way, regardless of what they represent. We present gDeep, a core calculus for feature composition, which captures the language independence of FOP; it can be used to compose features containing many different kinds of artifact in a type-safe way. The calculus allows us to gain insight into the principles of FOP and to define general algorithms for feature composition and validation. We provide the formal syntax, operational semantics, and type system of gDeep and outline how languages like Java, Haskell, Bali, and XML can be plugged in.","Feature-oriented programming, type systems, principle of uniformity, feature composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Qi X,Myers AC",Masked Types for Sound Object Initialization,,2009,,,53–65,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 36th Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,"Savannah, GA, USA",2009,9781605583792,,https://doi.org/10.1145/1480881.1480890;http://dx.doi.org/10.1145/1480881.1480890,10.1145/1480881.1480890,"This paper presents a type-based solution to the long-standing problem of object initialization. Constructors, the conventional mechanism for object initialization, have semantics that are surprising to programmers and that lead to bugs. They also contribute to the problem of null-pointer exceptions, which make software less reliable. Masked types are a new type-state mechanism that explicitly tracks the initialization state of objects and prevents reading from uninitialized fields. In the resulting language, constructors are ordinary methods that operate on uninitialized objects, and no special default value (null) is needed in the language. Initialization of cyclic data structures is achieved with the use of conditionally masked types. Masked types are modular and compatible with data abstraction. The type system is presented in a simplified object calculus and is proved to soundly prevent reading from uninitialized fields. Masked types have been implemented as an extension to Java, in which compilation simply erases extra type information. Experience using the extended language suggests that masked types work well on real code.","data abstraction, invariants, null pointer exceptions, cyclic data structures, conditional masks",POPL '09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,"Qi X,Myers AC",Masked Types for Sound Object Initialization,SIGPLAN Not.,2009,44,1,53–65,Association for Computing Machinery,"New York, NY, USA",,,,2009-01,,0362-1340,https://doi.org/10.1145/1594834.1480890;http://dx.doi.org/10.1145/1594834.1480890,10.1145/1594834.1480890,"This paper presents a type-based solution to the long-standing problem of object initialization. Constructors, the conventional mechanism for object initialization, have semantics that are surprising to programmers and that lead to bugs. They also contribute to the problem of null-pointer exceptions, which make software less reliable. Masked types are a new type-state mechanism that explicitly tracks the initialization state of objects and prevents reading from uninitialized fields. In the resulting language, constructors are ordinary methods that operate on uninitialized objects, and no special default value (null) is needed in the language. Initialization of cyclic data structures is achieved with the use of conditionally masked types. Masked types are modular and compatible with data abstraction. The type system is presented in a simplified object calculus and is proved to soundly prevent reading from uninitialized fields. Masked types have been implemented as an extension to Java, in which compilation simply erases extra type information. Experience using the extended language suggests that masked types work well on real code.","cyclic data structures, conditional masks, data abstraction, null pointer exceptions, invariants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Giannini P,Servetto M,Zucca E",Tracing Sharing in an Imperative Pure Calculus: Extended Abstract,,2017,,,,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 19th Workshop on Formal Techniques for Java-like Programs,"Barcelona, Spain",2017,9781450350983,,https://doi.org/10.1145/3103111.3104038;http://dx.doi.org/10.1145/3103111.3104038,10.1145/3103111.3104038,"We introduce a type and effect system, for an imperative object calculus, which infers sharing possibly introduced by the evaluation of an expression. Sharing is directly represented at the syntactic level as a relation among free variables, thanks to the fact that the calculus is pure. That is, imperative features are modeled by just rewriting source code terms. We consider both standard variables and affine variables, which can occur at most once in their scope. The latter are used as temporary references, to \move\"" a capsule (an isolated portion of store) to another location in the store. The sharing effects inferred by the type system are very expressive","and generalize notions introduced in literature by type modifiers.""","type and effect systems, calculi, sharing",FTFJP'17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,Vaughan JA,AuraConf: A Unified Approach to Authorization and Confidentiality,,2011,,,45–58,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 7th ACM SIGPLAN Workshop on Types in Language Design and Implementation,"Austin, Texas, USA",2011,9781450304849,,https://doi.org/10.1145/1929553.1929563;http://dx.doi.org/10.1145/1929553.1929563,10.1145/1929553.1929563,"This paper introduces AuraConf, the first programming language with a unified means to specify access-control and confidentially policies. In concert with a proof-carrying access control mechanism, to known-techniques for describing access-control, AuraConf allows confidentially policies to be specified declaratively using types and enforced via cryptography. Programs written in AuraConf enjoy a formal security guarantee via noninterference. Additionally, the language definition introduces a novel type system where the typechecker may use resources (i.e., private keys) and knowledge of an object's provenance (i.e., how a ciphertext was computed) to guide analysis.","dependent types, information flow, cryptography",TLDI '11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Summers AJ,Mueller P",Freedom before Commitment: A Lightweight Type System for Object Initialisation,,2011,,,1013–1032,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 2011 ACM International Conference on Object Oriented Programming Systems Languages and Applications,"Portland, Oregon, USA",2011,9781450309400,,https://doi.org/10.1145/2048066.2048142;http://dx.doi.org/10.1145/2048066.2048142,10.1145/2048066.2048142,"One of the main purposes of object initialisation is to establish invariants such as a field being non-null or an immutable data structure containing specific values. These invariants are then implicitly assumed by the rest of the implementation, for instance, to ensure that a field may be safely dereferenced or that immutable data may be accessed concurrently. Consequently, letting an object escape from its constructor is dangerous; the escaping object might not yet satisfy its invariants, leading to errors in code that relies on them. Nevertheless, preventing objects entirely from escaping from their constructors is too restrictive; it is often useful to call auxiliary methods on the object under initialisation or to pass it to another constructor to set up mutually-recursive structures.We present a type system that tracks which objects are fully initialised and which are still under initialisation. The system can be used to prevent objects from escaping, but also to allow safe escaping by making explicit which objects might not yet satisfy their invariants. We designed, formalised and implemented our system as an extension to a non-null type system, but it is not limited to this application. Our system is conceptually simple and requires little annotation overhead; it is sound and sufficiently expressive for many common programming idioms. Therefore, we believe it to be the first such system suitable for mainstream use.","simple, modular, sound, expressive, non-null, type-system, initialisation",OOPSLA '11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,"Summers AJ,Mueller P",Freedom before Commitment: A Lightweight Type System for Object Initialisation,SIGPLAN Not.,2011,46,10,1013–1032,Association for Computing Machinery,"New York, NY, USA",,,,2011-10,,0362-1340,https://doi.org/10.1145/2076021.2048142;http://dx.doi.org/10.1145/2076021.2048142,10.1145/2076021.2048142,"One of the main purposes of object initialisation is to establish invariants such as a field being non-null or an immutable data structure containing specific values. These invariants are then implicitly assumed by the rest of the implementation, for instance, to ensure that a field may be safely dereferenced or that immutable data may be accessed concurrently. Consequently, letting an object escape from its constructor is dangerous; the escaping object might not yet satisfy its invariants, leading to errors in code that relies on them. Nevertheless, preventing objects entirely from escaping from their constructors is too restrictive; it is often useful to call auxiliary methods on the object under initialisation or to pass it to another constructor to set up mutually-recursive structures.We present a type system that tracks which objects are fully initialised and which are still under initialisation. The system can be used to prevent objects from escaping, but also to allow safe escaping by making explicit which objects might not yet satisfy their invariants. We designed, formalised and implemented our system as an extension to a non-null type system, but it is not limited to this application. Our system is conceptually simple and requires little annotation overhead; it is sound and sufficiently expressive for many common programming idioms. Therefore, we believe it to be the first such system suitable for mainstream use.","modular, type-system, initialisation, expressive, sound, non-null, simple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Chen S,Erwig M",Early Detection of Type Errors in C++ Templates,,2014,,,133–144,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the ACM SIGPLAN 2014 Workshop on Partial Evaluation and Program Manipulation,"San Diego, California, USA",2014,9781450326193,,https://doi.org/10.1145/2543728.2543731;http://dx.doi.org/10.1145/2543728.2543731,10.1145/2543728.2543731,"Current C++ implementations typecheck templates in two phases: Before instantiation, those parts of the template are checked that do not depend on template parameters, while the checking of the remaining parts is delayed until template instantiation time when the template arguments become available. This approach is problematic because it causes two major usability problems. First, it prevents library developers to provide guarantees about the type correctness for modules involving templates. Second, it can lead, through the incorrect use of template functions, to inscrutable error messages. Moreover, errors are often reported far away from the source of the program fault.To address this problem, we have developed a type system for Garcia's type-reflective calculus that allows a more precise characterization of types and thus a better utilization of type information within template definitions. This type system allows the static detection of many type errors that could previously only be detected after template instantiation. The additional precision and earlier detection time is achieved through the use of so-called \choice types\"" and corresponding typing rules that support the static reasoning about underspecified template types. The main contribution of this paper is a guarantee of the type safety of C++ templates (general definitions with specializations) since we can show that well-typed templates only generate well-typed object programs.""","c++ templates, choice types, metaprogramming, type systems, type reflection",PEPM '14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,Tabareau N,A Theory of Distributed Aspects,,2010,,,133–144,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 9th International Conference on Aspect-Oriented Software Development,"Rennes and Saint-Malo, France",2010,9781605589589,,https://doi.org/10.1145/1739230.1739246;http://dx.doi.org/10.1145/1739230.1739246,10.1145/1739230.1739246,"Over the last five years, several systems have been proposed to take distribution into account in Aspect-Oriented Programming. While they appeared to be fruitful to develop or improve distributed component infrastructures or application servers, those systems are not underpinned with a formal semantics and so do not permit to establish properties on the code to be executed. This paper introduces the aspect join calculus -- an aspect-oriented and distributed language based on the join calculus, a member of the π-calculus family of process calculi suitable as a programming language. It provides a first formal theory of distributed AOP as well as a base language in which many features of previous distributed AOP systems can be formalized.The semantics of the aspect join calculus is given by a (chemical) operational semantics and a type system is developed to ensure properties satisfied by aspects during the execution of a process. We also give a translation of the aspect join calculus into the core join calculus. The translation is proved to be correct by a bisimilarity argument. In this way, we provide a well-defined version of a weaving algorithm which constitutes the main step towards an implementation of the aspect join calculus directly in JoCaml.We conclude this paper by showing that despite its minimal definition, the aspect join calculus is a convenient language in which existing distributed AOP languages can be formalized. Indeed, many features (such as remote pointcut, distributed advice, migration of aspects, asynchronous and synchronous aspects, re-routing of messages and distributed control flow) can be defined in this simple language.",,AOSD '10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Ramananandro T,Dos Reis G,Leroy X",Formal Verification of Object Layout for C++ Multiple Inheritance,,2011,,,67–80,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 38th Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,"Austin, Texas, USA",2011,9781450304900,,https://doi.org/10.1145/1926385.1926395;http://dx.doi.org/10.1145/1926385.1926395,10.1145/1926385.1926395,"Object layout - the concrete in-memory representation of objects - raises many delicate issues in the case of the C++ language, owing in particular to multiple inheritance, C compatibility and separate compilation. This paper formalizes a family of C++ object layout schemes and mechanically proves their correctness against the operational semantics for multiple inheritance of Wasserrab et al. This formalization is flexible enough to account for space-saving techniques such as empty base class optimization and tail-padding optimization. As an application, we obtain the first formal correctness proofs for realistic, optimized object layout algorithms, including one based on the popular \common vendor\"" Itanium C++ application binary interface. This work provides semantic foundations to discover and justify new layout optimizations; it is also a first step towards the verification of a C++ compiler front-end.""","c++, empty base classes, object identity, data representation, multiple inheritance, compiler verification, object layout",POPL '11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,"Ramananandro T,Dos Reis G,Leroy X",Formal Verification of Object Layout for C++ Multiple Inheritance,SIGPLAN Not.,2011,46,1,67–80,Association for Computing Machinery,"New York, NY, USA",,,,2011-01,,0362-1340,https://doi.org/10.1145/1925844.1926395;http://dx.doi.org/10.1145/1925844.1926395,10.1145/1925844.1926395,"Object layout - the concrete in-memory representation of objects - raises many delicate issues in the case of the C++ language, owing in particular to multiple inheritance, C compatibility and separate compilation. This paper formalizes a family of C++ object layout schemes and mechanically proves their correctness against the operational semantics for multiple inheritance of Wasserrab et al. This formalization is flexible enough to account for space-saving techniques such as empty base class optimization and tail-padding optimization. As an application, we obtain the first formal correctness proofs for realistic, optimized object layout algorithms, including one based on the popular \common vendor\"" Itanium C++ application binary interface. This work provides semantic foundations to discover and justify new layout optimizations; it is also a first step towards the verification of a C++ compiler front-end.""","multiple inheritance, object identity, object layout, c++, data representation, compiler verification, empty base classes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,Mainland G,Explicitly Heterogeneous Metaprogramming with MetaHaskell,,2012,,,311–322,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 17th ACM SIGPLAN International Conference on Functional Programming,"Copenhagen, Denmark",2012,9781450310543,,https://doi.org/10.1145/2364527.2364572;http://dx.doi.org/10.1145/2364527.2364572,10.1145/2364527.2364572,"Languages with support for metaprogramming, like MetaOCaml, offer a principled approach to code generation by guaranteeing that well-typed metaprograms produce well-typed programs. However, many problem domains where metaprogramming can fruitfully be applied require generating code in languages like C, CUDA, or assembly. Rather than resorting to add-hoc code generation techniques, these applications should be directly supported by explicitly heterogeneous metaprogramming languages.We present MetaHaskell, an extension of Haskell 98 that provides modular syntactic and type system support for type safe metaprogramming with multiple object languages. Adding a new object language to MetaHaskell requires only minor modifications to the host language to support type-level quantification over object language types and propagation of type equality constraints. We demonstrate the flexibility of our approach through three object languages: a core ML language, a linear variant of the core ML language, and a subset of C. All three languages support metaprogramming with open terms and guarantee that well-typed MetaHaskell programs will only produce closed object terms that are well-typed. The essence of MetaHaskell is captured in a type system for a simplified metalanguage. MetaHaskell, as well as all three object languages, are fully implemented in the mhc bytecode compiler.","metaprogramming, linear languages, quasiquotation, open terms, type systems",ICFP '12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,Mainland G,Explicitly Heterogeneous Metaprogramming with MetaHaskell,SIGPLAN Not.,2012,47,9,311–322,Association for Computing Machinery,"New York, NY, USA",,,,2012-09,,0362-1340,https://doi.org/10.1145/2398856.2364572;http://dx.doi.org/10.1145/2398856.2364572,10.1145/2398856.2364572,"Languages with support for metaprogramming, like MetaOCaml, offer a principled approach to code generation by guaranteeing that well-typed metaprograms produce well-typed programs. However, many problem domains where metaprogramming can fruitfully be applied require generating code in languages like C, CUDA, or assembly. Rather than resorting to add-hoc code generation techniques, these applications should be directly supported by explicitly heterogeneous metaprogramming languages.We present MetaHaskell, an extension of Haskell 98 that provides modular syntactic and type system support for type safe metaprogramming with multiple object languages. Adding a new object language to MetaHaskell requires only minor modifications to the host language to support type-level quantification over object language types and propagation of type equality constraints. We demonstrate the flexibility of our approach through three object languages: a core ML language, a linear variant of the core ML language, and a subset of C. All three languages support metaprogramming with open terms and guarantee that well-typed MetaHaskell programs will only produce closed object terms that are well-typed. The essence of MetaHaskell is captured in a type system for a simplified metalanguage. MetaHaskell, as well as all three object languages, are fully implemented in the mhc bytecode compiler.","quasiquotation, open terms, linear languages, metaprogramming, type systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Mackay J,Mehnert H,Potanin A,Groves L,Cameron N",Encoding Featherweight Java with Assignment and Immutability Using the Coq Proof Assistant,,2012,,,11–19,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 14th Workshop on Formal Techniques for Java-like Programs,"Beijing, China",2012,9781450312721,,https://doi.org/10.1145/2318202.2318206;http://dx.doi.org/10.1145/2318202.2318206,10.1145/2318202.2318206,We develop a mechanized proof of Featherweight Java with Assignment and Immutability in the Coq proof assistant. This is a step towards more machine-checked proofs of a non-trivial type system. We used object immutability close to that of IGJ [9]. We describe the challenges of the mechanisation and the encoding we used inside of Coq.,"immutability, Coq, type systems, automated theorem provers",FTfJP '12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Salgado R,Ducasse S",Lowcode: Extending Pharo with C Types to Improve Performance,,2016,,,,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 11th Edition of the International Workshop on Smalltalk Technologies,"Prague, Czech Republic",2016,9781450345248,,https://doi.org/10.1145/2991041.2991064;http://dx.doi.org/10.1145/2991041.2991064,10.1145/2991041.2991064,"The highly dynamic nature of Smalltalk provides a high degree of flexibility, but at the expense of performance. On the other hand, static system programming languages such as C are really fast, but less flexible and harder to use than Smalltalk. Our hypothesis is that by mixing the concepts of these two worlds in a single programming environment, we are able to have improved performance and a high level of flexibility at the same time.In this work we extend Pharo by adding a type system that provides the native data types present in C along with the dynamic object type. We extend Pharo compiler and virtual machine to use our type system by add custom bytecode instructions for dealing with native data. With our approach we obtain a performance improvement on average between two and five times faster for numerical computations using single precision floating point arithmetic in Smalltalk.",,IWST'16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Gaster BR,Howes L","Formalizing Address Spaces with Application to Cuda, OpenCL, and Beyond",,2013,,,32–41,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 6th Workshop on General Purpose Processor Using Graphics Processing Units,"Houston, Texas, USA",2013,9781450320177,,https://doi.org/10.1145/2458523.2458527;http://dx.doi.org/10.1145/2458523.2458527,10.1145/2458523.2458527,"Cuda and OpenCL are aimed at programmers developing parallel applications targeting GPUs and embedded micro-processors. These systems often have explicitly managed memories exposed directly though a notion of disjoint address spaces. OpenCL address spaces are based on a similar concept found in Embedded C. A limitation of OpenCL is that a specific pointer must be assigned to a particular address space and thus functions, for example, must say which pointer arguments point to which address spaces. This leads to a loss of composability and moreover can lead to implementing multiple versions of the same function. This problem is compounded in the OpenCL C++ variant where a class' implicit this pointer can be applied to multiple address spaces.Modern GPUs, such as AMD's Graphics Core Next and Nvidia's Fermi, support an additional generic address space that dynamically determines an address' disjoint address space, submitting the correct load/store operation to the particular memory subsystem. Generic address spaces allow for dynamic casting between generic and non-generic address spaces that is similar to the dynamic subtyping found in objected oriented languages. The advantage of the generic address space is it simplifies the programming model but sometimes at the cost of decreased performance, both dynamically and due to the optimization a compiler can safely perform.This paper describes a new type system for inferring Cuda and OpenCL style address spaces. We show that the address space system can be inferred. We extend this base system with a notion of generic address space, including dynamic casting, and show that there also exists a static translation to architectures without support for generic address spaces but comes at a potential performance cost. This performance cost can be reclaimed when an architecture directly supports generic address space.","GPU, OpenCL, C++, GPGPU",GPGPU-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Ancona D,Zucca E",Safe Corecursion in CoFJ,,2013,,,,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 15th Workshop on Formal Techniques for Java-like Programs,"Montpellier, France",2013,9781450320429,,https://doi.org/10.1145/2489804.2489807;http://dx.doi.org/10.1145/2489804.2489807,10.1145/2489804.2489807,"In previous work we have presented coFJ, an extension to Featherweight Java that promotes coinductive programming, a sub-paradigm expressly devised to ease high-level programming and reasoning with cyclic data structures.The coFJ language supports cyclic objects and regularly corecursive methods, that is, methods whose invocation terminates not only when the corresponding call trace is finite (as happens with ordinary recursion), but also when such a trace is infinite but cyclic, that is, can be specified by a regular term, or, equivalently, by a finite set of recursive syntactic equations.In coFJ it is not easy to ensure that the invocation of a corecursive method will return a well-defined value, since the recursive equations corresponding to the regular trace of the recursive calls may not admit a (unique) solution; in such cases we say that the value returned by the method call is undetermined.In this paper we propose two new contributions. First, we design a simpler construct for defining corecursive methods and, correspondingly, provide a more intuitive operational semantics. For this coFJ variant, we are able to define a type system that allows the user to specify that certain corecursive methods cannot return an undetermined value; in this way, it is possible to prevent unsafe use of such a value.The operational semantics and the type system of coFJ are fully formalized, and the soundness of the type system is proved.","regular terms, coinduction, Java, programming paradigms",FTfJP '13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
