Item type,Authors,Editors,Title,Journal,Publication year,Volume,Issue,Pages,Edition,Publisher,Address,Book title,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Notes,Series,,,,,,,,,,,,,,,,,,,
Journal Article,"Tay FE,Gu J",,Product modeling for conceptual design support,Computers in Industry,2002,48,2,143-155,,,,,2002,,0166-3615,https://www.sciencedirect.com/science/article/pii/S0166361502000143;http://dx.doi.org/10.1016/S0166-3615(02)00014-3,10.1016/S0166-3615(02)00014-3,"Traditional product modeling techniques and computer-aided design (CAD) systems are mainly focused on physical product modeling and geometric representation, which makes them insufficient to help in the conceptual design process. This paper describes a function-based product model for conceptual design support. It formally represents and organizes product information in both functional and physical domain in a multilevel and object-oriented manner. In each domain, the information is organized according to the product decomposition structure. Function–form relations are used to map the two domains. This makes it possible to retain design intentions, and allows designers from different backgrounds with various interests to access the design information and to communicate with one another easily. Multilevel product class structures are constructed to model products at different levels of abstraction, which facilitates design decision-making through the whole conceptual design process. A prototype system has also been developed to implement and demonstrate the proposed product model.","Modeling, Conceptual design, Prototype system",,,,,,,,,,,,,,,,,,,,,
Journal Article,Butler G,,Easy verification of behavioural subtyping in common cases,Information Processing Letters,1995,55,1,57-58,,,,,1995,,0020-0190,https://www.sciencedirect.com/science/article/pii/002001909500064J;http://dx.doi.org/10.1016/0020-0190(95)00064-J,10.1016/0020-0190(95)00064-J,"In many common cases, the checklist for verification of behavioral subtyping presented by Liskov and Wing can be simplified by removing one of the three checks. The common case, called state biconnectivity, occurs where it is possible to undo the effect of each method which changes the state of an object of the supertype.","Program correctness, Formal semantics, Software engineering",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Nishiwaki Y,Kakutani Y,Murase Y",,Modality via Iterated Enrichment,Electronic Notes in Theoretical Computer Science,2018,341,,297-320,,,,,2018,,1571-0661,https://www.sciencedirect.com/science/article/pii/S1571066118300963;http://dx.doi.org/10.1016/j.entcs.2018.11.015,10.1016/j.entcs.2018.11.015,"This paper investigates modal type theories by using a new categorical semantics called change-of-base semantics. Change-of-base semantics is novel in that it is based on (possibly infinitely) iterated enrichment and interpretation of modality as hom objects. In our semantics, the relationship between meta and object levels in multi-staged computation exactly corresponds to the relationship between enriching and enriched categories. As a result, we obtain a categorical explanation of situations where meta and object logics may be completely different. Our categorical models include conventional models of modal type theory (e.g., cartesian closed categories with a monoidal endofunctor) as special cases and hence can be seen as a natural refinement of former results. On the type theoretical side, it is shown that Fitch-style modal type theory can be directly interpreted in iterated enrichment of categories. Interestingly, this interpretation suggests the fact that Fitch-style modal type theory is the right adjoint of dual-context calculus. In addition, we present how linear temporal, S4, and linear exponential modalities are described in terms of change-of-base semantics. Finally, we show that the change-of-base semantics can be naturally extended to multi-staged effectful computation and generalized contextual modality a la Nanevski et al. We emphasize that this paper answers the question raised in the survey paper by de Paiva and Ritter in 2011, what a categorical model for Fitch-style type theory is like.","Lambda Calculus, Curry-Howard Isomorphism, Modal Logic, Enriched Category Theory",Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics (MFPS XXXIV),,,,,,,,,,,,,,,,,,,,
Book Chapter,"Macário CG,Pedroso M,Borelli WC","Cavalli A,Sarma A",- Designing a Multi-user Software Environment for Development and Analysis using a combination of OMT and SDL92,,1997,,,3-17,,Elsevier Science B.V.,Amsterdam,SDL '97: Time for Testing,1997,9780444828163,,https://www.sciencedirect.com/science/article/pii/B9780444828163500022;http://dx.doi.org/10.1016/B978-044482816-3/50002-2,10.1016/B978-044482816-3/50002-2,"Publisher Summary This chapter presents a novel approach to the development of Ambiente Integrado para Desenvolvimento e Análise or Integrated Environment for Development and Analysis (AIDA), a software environment for the management and statistical analysis of experimental data, being developed by the Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA), Brazil. This approach combines the use of an object-oriented methodology with a Specification Description Language (SDL) formal description, greatly enhancing the software development process. The proposed object model and its SDL92 specification, as well as a simulation example are provided for a multiuser AIDA network configuration. The use of object modeling technique (OMT) is shown as an excellent option in the software development process. Besides other features, it allows software reuse, offers some abstraction details, and provides modularity, making the evolution and maintenance activities much easier. There are two main classes in AIDA: the analysis environment and the programming language environment. The chapter focuses on the analysis environment because this part of the system mainly represents the AIDA functionalities.",,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Crole RL,Furniss A",,Canonical HybridLF: Extending Hybrid with Dependent Types,Electronic Notes in Theoretical Computer Science,2016,323,,125-142,,,,,2016,,1571-0661,https://www.sciencedirect.com/science/article/pii/S1571066116300366;http://dx.doi.org/10.1016/j.entcs.2016.06.009,10.1016/j.entcs.2016.06.009,"We introduce Canonical HybridLF (CHLF), a metalogic for proving properties of deductive systems, implemented in Isabelle HOL. CHLF is closely related to two other metalogics. The first is the Edinburgh Logical Framework (LF) by Harper, Honsell and Plotkin. The second is the Hybrid system developed by Ambler, Crole and Momigliano which provides a Higher-Order Abstract Syntax (HOAS) based on un-typed lambda calculus. Historically there are two problems with HOAS: its incompatibility with inductive types and the presence of exotic terms. Hybrid provides a partial solution to these problems whereby HOAS functions that include bound variables in the metalogic are automatically converted to a machine-friendly de Bruijn representation hidden from the user. The key innovation of CHLF is the replacement of the un-typed lambda calculus with a dependently-typed lambda calculus in the style of LF. CHLF allows signatures containing constants representing the judgements and syntax of an object logic, together with proofs of metatheorems about its judgements, to be entered using a HOAS interface. Proofs that metatheorems defined in the signature are valid are created using the M2 metalogic of Schurmann and Pfenning. We make a number of advances over existing versions of Hybrid: we now have the utility of dependent types; the unitary bound variable capability of Hybrid is now potentially finitary; a type system performs the role of Hybrid well-formedness predicates; and the old method of indicating errors using special elements of core datatypes is replaced with a more streamlined one that uses the Isabelle option type.","dependent types, HOAS, logical frameworks, metalogical reasoning, variable binding","Proceedings of the Tenth Workshop on Logical and Semantic Frameworks, with Applications (LSFA 2015)",,,,,,,,,,,,,,,,,,,,
Journal Article,Papadopoulos GA,,Experience using an intermediate compiler target language for parallel machines,Microprocessors and Microsystems,1997,20,9,511-520,,,,,1997,,0141-9331,https://www.sciencedirect.com/science/article/pii/S0141933196011234;http://dx.doi.org/10.1016/S0141-9331(96)01123-4,10.1016/S0141-9331(96)01123-4,"The generalised computational model of term graph rewriting systems (TGRSs) has been used extensively as an implementation vehicle for a number of, often divergent, programming paradigms ranging from the traditional functional programming ones to the (concurrent) logic programming ones and various amalgamations of them, to (concurrent) object-oriented ones. More recently, the relationship between TGRSs and process calculi (such as the π-calculus) as well as linear logic has also been explored. In this paper we describe our experience in using the intermediate compiler target language Dactl based on TGRSs for mapping a variety of programming paradigms of the aforementioned types onto it. In particular, we concentrate on some of the issues that we feel have played an important role in our work (in, say, affecting performance, etc.), the aim being to derive a list of features that we feel every language model which intends to be used as an intermediate representation between (concurrent) high-level languages and (parallel) computer architectures must have.","Compiler target languages, Intermediate representations, Parallel and distributed computing, Language embeddings, Term graph rewriting systems",,,,,,,,,,,,,,,,,,,,,
Journal Article,Andreev RD,,A linguistic approach to user interface design,Interacting with Computers,2001,13,5,581-599,,,,,2001,,0953-5438,https://www.sciencedirect.com/science/article/pii/S0953543801000339;http://dx.doi.org/10.1016/S0953-5438(01)00033-9,10.1016/S0953-5438(01)00033-9,"This paper considers user interface design world (UIDW) as a system of communication lines. It necessitates the adoption of a UI design method, centered on language application. For that reason, this approach to UI design is called linguistic approach. The basic characteristics of communication require the presence of a balanced model of UIDW. The integration approach applied to the proposed balanced model submits for analyzing the following issues: the possibilities of object-oriented (OO) approach for providing a homogeneous platform for UI designing; the potential of OO approach for language implementation. The use of formal description provides a basis for the consideration of these issues. As a result of these considerations, the following conclusions are drawn. A technology can be used for language implementation if it ensures all abstract forms reflected to the language structure: concept – this is the essence of the word; forms based on individual abstraction reflect static relations of one description; forms based on group abstraction provide context description. At present, the OO technology covers a part of the language structure. It ensures the forms of concept and the forms based on individual abstraction. The OO paradigm can be regarded as a foundation of a linguistic approach to UI design when new OO forms are developed. They have to cover the forms of group abstraction.","User interface design, System design, Object-oriented approach, Linguistic approach, Abstract forms of cognition",,,,,,,,,,,,,,,,,,,,,
Journal Article,Mjolsness E,,Towards Measurable Types for Dynamical Process Modeling Languages,Electronic Notes in Theoretical Computer Science,2010,265,,123-144,,,,,2010,,1571-0661,https://www.sciencedirect.com/science/article/pii/S1571066110000873;http://dx.doi.org/10.1016/j.entcs.2010.08.008,10.1016/j.entcs.2010.08.008,"Process modeling languages such as “Dynamical Grammars” are highly expressive in the processes they model using stochastic and deterministic dynamical systems, and can be given formal semantics in terms of an operator algebra. However such process languages may be more limited in the types of objects whose dynamics is easily expressible. For many applications in biology, the dynamics of spatial objects in particular (including combinations of discrete and continuous spatial structures) should be formalizable at a high level of abstraction. We suggest that this may be achieved by formalizing such objects within a type system endowed with type constructors suitable for complex dynamical objects. To this end we review and illustrate the operator algebraic formulation of heterogeneous process modeling and semantics, extending it to encompass partial differential equations and intrinsic graph grammar dynamics. We show that in the operator approach to heterogeneous dynamics, types require integration measures. From this starting point, “measurable” object types can be enriched with generalized metrics under which approximation can be defined. The resulting measurable and “metricated” types can be built up systematically by type constructors such as vectors, products, and labelled graphs. We find conditions under which functions and quotients can be added as constructors of measurable and metricated types.","biological models, dynamical systems, master equation, measureable type, metricated type, operator algebra, process modeling language, stochastic processes, stochastic semantics",Proceedings of the 26th Conference on the Mathematical Foundations of Programming Semantics (MFPS 2010),,,,,,,,,,,,,,,,,,,,
Book Chapter,"Nederpelt RP,Geuvers JH","Nederpelt RP,Geuvers JH,de Vrijer RC",Twenty-Five Years of Automath Research,,1994,133,,3-54,,Elsevier,,Selected Papers on Automath,1994,,0049-237X,https://www.sciencedirect.com/science/article/pii/S0049237X08701988;http://dx.doi.org/10.1016/S0049-237X(08)70198-8,10.1016/S0049-237X(08)70198-8,"Publisher Summary This chapter provides a historical overview of proof systems, leading to a short survey of the Automath project, and a description of recent developments. A proof system which is based on typed lambda calculus but does not treat proofs as formal objects is Higher Order Logic (HOL). The system is not a framework, but supports a version of classical higher order predicate logic. There are also systems for proof development that do not use type theory at all. This chapter presents selected papers for the survey of the contents which are divided in six groups, in accordance with the global character of the topics treated namely motivation and exposition, language definition and special subjects, theory, text examples, verification, and some related topics. It provides some insight in the contents of the different papers, with a view to the aims and ideas of the Automath project. The chapter discusses the contributions of Alonzo Church, the founder of type theory. The Automath project, the related type systems, and the recent developments are discussed.",,,Studies in Logic and the Foundations of Mathematics,,,,,,,,,,,,,,,,,,,
Journal Article,"Shao MW,Yang HZ,Wu WZ",,Knowledge reduction in formal fuzzy contexts,Knowledge-Based Systems,2015,73,,265-275,,,,,2015,,0950-7051,https://www.sciencedirect.com/science/article/pii/S095070511400375X;http://dx.doi.org/10.1016/j.knosys.2014.10.008,10.1016/j.knosys.2014.10.008,"Knowledge reduction is a basic issue in knowledge representation and data mining. Although various methods have been developed to reduce the size of classical formal contexts, the reduction of formal fuzzy contexts based on fuzzy lattices remains a difficult problem owing to its complicated derivation operators. To address this problem, we propose a general method of knowledge reduction by reducing attributes and objects in formal fuzzy contexts based on the variable threshold concept lattices. Employing the proposed approaches, we remove attributes and objects which are non-essential to the structure of a variable threshold concept lattice, i.e., with a given threshold level, the concept lattice constructed from a reduced formal context is made identical to that constructed from the original formal context. Discernibility matrices and Boolean functions are, respectively, employed to compute the attribute reducts and object reducts of the formal fuzzy contexts, by which all the attribute reducts and object reducts of the formal fuzzy contexts are determined without changing the structure of the lattice.","Concept lattices, Discernibility matrices, Formal fuzzy contexts, Knowledge reduction, Variable threshold",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Tiller MM,Dantzig JA",,Implementation of design sensitivity analysis and numerical optimization in engineering analysis,Applied Mathematical Modelling,1996,20,11,792-799,,,,,1996,,0307-904X,https://www.sciencedirect.com/science/article/pii/S0307904X96000844;http://dx.doi.org/10.1016/S0307-904X(96)00084-4,10.1016/S0307-904X(96)00084-4,"In this paper we present an approach to integrating optimisation tools with simulation software to achieve user-defined objectives. A formal protocol is presented, including specific definitions of the requirements of the simulator, optimiser, and design interface. A discussion of the mathematical issues and the efficiency of different approaches for computing sensitivities is given. We then discuss the source code modifications necessary to accomplish the integration of simulation and optimisation.","optimization, sensitivity analysis, finite element method, object-oriented programming",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Diaz M,Owezarski P",,From multimedia models to multimedia transport protocols,Computer Networks and ISDN Systems,1997,29,7,745-758,,,,,1997,,0169-7552,https://www.sciencedirect.com/science/article/pii/S0169755297000718;http://dx.doi.org/10.1016/S0169-7552(97)00071-8,10.1016/S0169-7552(97)00071-8,"This paper presents a new protocol architecture for distributed multimedia systems which includes a new and general protocol layer for the transport of multimedia objects. The proposed protocols are based on the use of two extended timed and time Petri net models that specify the synchronisation requirements of multimedia applications. After presenting these two formal models, it is shown how they have been used to design the general multimedia architecture whose transport layer is based on the concept of a partial order connection, an extension of the classical connection oriented (e.g., TCP) and connectionless (e.g., UDP) transmission concepts.","Distributed multimedia systems, Timed Petri nets, Specification, Modeling, Multimedia information, Time and synchronisation, Multimedia protocols, Partial order connections",Theme issue FORTE'95,,,,,,,,,,,,,,,,,,,,
Journal Article,"Rudolph E,Graubmann P,Grabowski J",,Tutorial on Message Sequence Charts,Computer Networks and ISDN Systems,1996,28,12,1629-1641,,,,,1996,,0169-7552,https://www.sciencedirect.com/science/article/pii/0169755295001220;http://dx.doi.org/10.1016/0169-7552(95)00122-0,10.1016/0169-7552(95)00122-0,"An introduction to the ITU standard language Message Sequence Chart (MSC) is provided. It is pointed out that MSC in many respects is complementary to the ITU specification and design language SDL. MSC in combination with SDL or other languages, now plays a role in nearly all stages of the system development process. Since MSC has been standardized in the same study group as SDL, the language form is quite analogous, e.g. it has a graphical (MSCGR) and a textual (MSCPR) syntax form. The MSC language in the present recommendation Z.120 (MSC'92), comprises basic language elements — instance, message, environment, action, timer, process creation and termination, condition — and structural language elements — “coregion” and “submsc”. It is demonstrated how global and non-global conditions may be used for the composition of MSCs. Whereas in MSC'92 the main emphasis is put on the elaboration of basic concepts and a corresponding formal semantics, in the new MSC version (MSC'96) structural language constructs, essentially composition and object oriented concepts, will play a dominant role. With these new concepts, the power of MSC is enhanced considerably in order to overcome the traditional restriction of MSC to the specification of few selected system runs.","MSC, SDL, Object oriented modelling, Composition techniques, System engineering, Requirement specification",SDL and MSC,,,,,,,,,,,,,,,,,,,,
Book Chapter,"Beringer J,Wandmacher J","Tauber MJ,Ackermann D",Object-Based Action Planning,,1991,2,,135-155,,North-Holland,,Mental Models and Human-Computer Interaction 2,1991,,0923-8433,https://www.sciencedirect.com/science/article/pii/B9780444886026500116;http://dx.doi.org/10.1016/B978-0-444-88602-6.50011-6,10.1016/B978-0-444-88602-6.50011-6,"Current models of human-computer interaction are specialized in either semantic or procedural aspects. An object-based formalization of conceptual tool knowledge is presented which aims to integrate a high level semantic description and the procedural level. The principle of data-abstraction provides explicit links between both levels. An object-based analysis of the user's task world and the system's functionality produces a well defined set of simple tasks. By using a state-oriented definition of the task we are able to represent the task within the same formal model. Therefore, the intermediate levels of semantic action planning, i.e., the transformation of a user's intention into a sequence of simple tasks, can be derived by the object-based description of the functionality of a system.",,,Human Factors in Information Technology,,,,,,,,,,,,,,,,,,,
Journal Article,"Aragón RG,Medina J,Ramírez-Poussa E",,Impact of local congruences in variable selection from datasets,Journal of Computational and Applied Mathematics,2021,,,113416,,,,,2021,,0377-0427,https://www.sciencedirect.com/science/article/pii/S0377042721000352;http://dx.doi.org/10.1016/j.cam.2021.113416,10.1016/j.cam.2021.113416,"Formal concept analysis (FCA) is a useful mathematical tool for obtaining information from relational datasets. One of the most interesting research goals in FCA is the selection of the most representative variables of the dataset, which is called attribute reduction. Recently, the attribute reduction mechanism has been complemented with the use of local congruences in order to obtain robust clusters of concepts, which form convex sublattices of the original concept lattice. Since the application of such local congruences modifies the quotient set associated with the attribute reduction, it is fundamental to know how the original context (attributes, objects and relationship) has been modified in order to understand the impact of the application of the local congruence in the attribute reduction.","Formal concept analysis, Size concept lattice reduction, Congruence relation",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Dimassi S,Demoly F,Cruz C,Qi HJ,Kim KY,André JC,Gomes S",,An ontology-based framework to formalize and represent 4D printing knowledge in design,Computers in Industry,2021,126,,103374,,,,,2021,,0166-3615,https://www.sciencedirect.com/science/article/pii/S0166361520306084;http://dx.doi.org/10.1016/j.compind.2020.103374,10.1016/j.compind.2020.103374,"Over the last decade, 4D printing paradigm has received intensive research efforts, whether from researchers in additive manufacturing (AM) or in smart materials (SMs) development. Related research works have thereby generated a large number of ad-hoc solutions with relevant disparate and scattered knowledge. This lack of common core knowledge is mainly due to the multiple involved expertise for fabricating stimulus-reactive structures. The scientific issue of federating and reconciling knowledge is also reinforced especially if such technology must be integrated into the product design process, falling under the field of design for 4D printing. To tackle this challenge, it becomes crucial to formalize and represent knowledge relating AM processes/techniques, SMs behaviours, stimuli and transformation functions with the variety of design objects. In such a context, the paper aims at developing an ontology-based framework for the semantic and logical description of transformable objects in the era of 4D printing for product-process design related purposes. This framework – which is built upon a foundational ontology associated with mereotopology for describing dynamical phenomena called basic formal ontology – consists in introducing a domain ontology equipped with reasoning capabilities supported by description logics for SMs selection and distribution, transformation sequence planning and AM process planning purposes.","4D Printing, Smart materials, Additive manufacturing, Design for 4D printing, Ontology, Description logics",,,,,,,,,,,,,,,,,,,,,
Journal Article,Miculan M,,Developing (Meta)Theory of λ-calculus in the Theory of Contexts1 1Work partially supported by Italian MURST project tosca and EC-WG types,Electronic Notes in Theoretical Computer Science,2001,58,1,37-58,,,,,2001,,1571-0661,https://www.sciencedirect.com/science/article/pii/S1571066104002786;http://dx.doi.org/10.1016/S1571-0661(04)00278-6,10.1016/S1571-0661(04)00278-6,"We present a case study on the formal development of a non trivial (meta)theory in the Theory of Contexts using the Coq proof assistant. The methodology underlying the Theory of Contexts for reasoning on systems presented in HOAS is based on an axiomatic syntactic standpoint. We feel that one of the main advantages of this approach, is that it requires a very low logical overhead. The object system we focus on is the lazy, call-by-name λ-calculus (λcbn), both untyped and simply typed. We will see that the formal, fully detailed development of the theory of (λcbn) in the Theory of Contexts introduces a small, sustainable overhead with respect to the proofs “on the paper”. Moreover, this will allow for comparison with similar case studies developed in other approaches to the metatheoretical reasoning in higher-order abstract syntax.","higher-order abstract syntax, induction, logical frameworks",MERLIN 2001: Mechanized Reasoning about Languages with Variable Binding (in connection with IJCAR 2001),,,,,,,,,,,,,,,,,,,,
Journal Article,"Filippi JB,Bisgambiglia P",,JDEVS: an implementation of a DEVS based formal framework for environmental modelling,Environmental Modelling & Software,2004,19,3,261-274,,,,,2004,,1364-8152,https://www.sciencedirect.com/science/article/pii/S136481520300210X;http://dx.doi.org/10.1016/j.envsoft.2003.08.016,10.1016/j.envsoft.2003.08.016,"The development of models using multiple modelling paradigms is necessary to formulate and study current problems in environmental science. To simplify the coupling of those models, a formal basis for a high-level specification of such models must be set up. In this paper, we propose a discrete event system specification (DEVS) based modelling framework as a formal basis in environmental modelling. The formal framework ensures that the models are reusable and interoperable components with well defined interfaces. Moreover, a wide variety of modelling paradigms can be expressed in the DEVS formalism. We also extend the modelling paradigms that can be expressed in the DEVS framework with two techniques: Feedback-DEVS for the specification of supervised-learning models and Vector-DEVS for the specification of models in vector space. JDEVS is the Java implementation of the framework. It enables discrete event, general purpose, object oriented, component based, GIS connected, collaborative, visual simulation model development and execution. A Feedback-DEVS neural-network model and a cellular infiltration model are described as experiments using JDEVS. Those models are later coupled to show the new modelling scenarios enabled by the use of a formal framework and the flexibility of the software.","Discrete event simulation, Environmental modelling, Artificial neural networks, Vector propagation, 3D visualization","Concepts, Methods and Applications in Environmental Model Integration",,,,,,,,,,,,,,,,,,,,
Book Chapter,,"Moellering H,Hogan MR",- Spatial Archive and Interchange Format (SAIF) Canada,,1997,,,95-112,,Pergamon,Oxford,Spatial Database Transfer Standards 2: Characteristics for Assessing Standards and Full Descriptions of the National and International Standards in the World,1997,9780080424330,,https://www.sciencedirect.com/science/article/pii/B9780080424330500101;http://dx.doi.org/10.1016/B978-008042433-0/50010-1,10.1016/B978-008042433-0/50010-1,"Publisher Summary This chapter focuses on the Spatial Archive and Interchange Format (SAIF) in Canada. The SAIF was developed as a means of sharing spatial and spatiotemporal data. The SAIF Standard Schema consists of the definitions of nearly 300 types or classes based on the data model. It includes the formal definition of spatial and temporal objects as well as generic geographic objects. It also includes spatial and temporal relationships, geometry, metadata, and other associated classes and enumerations. The metadata has attributes that provide information regarding referencing, lineage, quality, and updating. SAIF has an extensible, object-oriented language, and SAIF talk, with two components. The first consists of the Class Syntax Notation (CSN), a data definition language used to define data types in both the SAIF Standard Schema and user-defined schemas. Each new user-defined type may be based on the data model directly on the predefined types in the SAIF standard schema or on other user-defined types.",,,International Cartographic Association,,,,,,,,,,,,,,,,,,,
Journal Article,"Ferré S,Cellier P",,Graph-FCA: An extension of formal concept analysis to knowledge graphs,Discrete Applied Mathematics,2020,273,,81-102,,,,,2020,,0166-218X,https://www.sciencedirect.com/science/article/pii/S0166218X19301532;http://dx.doi.org/10.1016/j.dam.2019.03.003,10.1016/j.dam.2019.03.003,"Knowledge graphs offer a versatile knowledge representation, and have been studied under different forms, such as conceptual graphs or RDF graphs in the Semantic Web. A challenge is to discover conceptual structures in those graphs, in the same way as Formal Concept Analysis (FCA) discovers conceptual structures in tables. FCA has been successful for analysing, mining, learning, and exploring tabular data, and our aim is to help transpose those results to graph-based data. Previous several FCA approaches have already addressed relational data, hence graphs, but with various limits. We propose Graph-FCA as an extension of FCA where a dataset is a hypergraph instead of a binary table. We show that it can be formalized simply by replacing objects by tuples of objects. This leads to the notion of “n-ary concept”, whose extent is an n-ary relation of objects, and whose intent is a “projected graph pattern”. In this paper, we formally reconstruct the fundamental results of FCA for knowledge graphs. We describe in detail the representation of hypergraphs, and the operations on them, as they are much more complex than the sets of attributes that they extend. We also propose an algorithm based on a notion of “pattern basis” to generate and display n-ary concepts in a more efficient and more compact way. We explore a few use cases, in order to study the feasibility and usefulness of Graph-FCA. We consider two use cases: workflow patterns in cooking recipes and linguistic structures from parse trees. In addition, we report on experiments about quantitative aspects of the approach.","Formal concept analysis, Knowledge graph, Semantic web, Graph homomorphism",Advances in Formal Concept Analysis: Traces of CLA 2016,,,,,,,,,,,,,,,,,,,,
Journal Article,"Durán F,Meseguer J",,An Extensible Module Algebra For Maude,Electronic Notes in Theoretical Computer Science,1998,15,,174-195,,,,,1998,,1571-0661,https://www.sciencedirect.com/science/article/pii/S157106610580012X;http://dx.doi.org/10.1016/S1571-0661(05)80012-X,10.1016/S1571-0661(05)80012-X,"The fact that rewriting logic and Maude are reflective, so that rewriting logic specifications can be manipulated as terms at the metalevel, opens up the possibility of defining an algebra of module composition and transformation operations within the logic. This makes such a module algebra easily modifiable and extensible, enables the implementation of language extensions within Maude, and allows formal reasoning about the module operations themselves. In this paper we discuss in detail the Maude implementation of a specific choice of operations for a module algebra of this type, supporting module operations in the Clear/OBJ tradition as well as the transformation of object-oriented modules into system modules.",,International Workshop on Rewriting Logic and its Applications,,,,,,,,,,,,,,,,,,,,
Book Chapter,Bobrow DG,"Shrobe HE,the American Association for Artificial Intelligence","Chapter 15 - The Common LISP Object System: An Example of Integrating Programming Paradigms11This paper is based on a talk given at AAAI-86. At that time, CommonLoops was the example used of tight integration of paradigms. Since that time, the Common LISP Object System has emerged as a better example (see the Acknowledgments section of this survey)",,1988,,,619-640,,Morgan Kaufmann,,Exploring Artificial Intelligence,1988,9780934613675,,https://www.sciencedirect.com/science/article/pii/B9780934613675500198;http://dx.doi.org/10.1016/B978-0-934613-67-5.50019-8,10.1016/B978-0-934613-67-5.50019-8,"Publisher Summary A programming paradigm is a supported style of programming with significant advantages for a domain of problems. Many programming paradigms have been added on top of LISP, but few have been tightly integrated. Common LISP Object System (CLOS) is a model of a good integration. CLOS blends the object-oriented programming paradigm smoothly and tightly with the usual procedure-oriented paradigm of LISP. Functions and methods are combined in a more general abstraction. Message passing is invoked via normal LISP function call and methods are viewed as partial descriptions of procedures. LISP data types are integrated with object classes. With these integrations, it is easy to incrementally move a program between the procedure and object-oriented styles. By integrating classes with the LISP type system and using a syntax for method invocation that is identical to the LISP function call, CLOS makes possible a smooth and incremental transition from using only the functional paradigm for user code to using the object paradigm. As a portable system implemented in a widely available base, it allows users the choice of hardware and environments. It allows them a road to the future.",,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Pilarczyk J,Janeczko W,Sterna R,Kuniecki M",,Are emotional objects visually salient? The Emotional Maps Database,Journal of Visual Communication and Image Representation,2021,79,,103221,,,,,2021,,1047-3203,https://www.sciencedirect.com/science/article/pii/S1047320321001462;http://dx.doi.org/10.1016/j.jvcir.2021.103221,10.1016/j.jvcir.2021.103221,"The visual system prioritizes emotional content in natural scenes, but it is unclear whether emotional objects are systematically more salient. We compare emotional maps - created by averaging multiple manual selections of the most meaningful regions in images of negative, positive, and neutral affective valence - with saliency maps generated by Graph-Based Visual Saliency, Proto-object, and SalGAN models. We found that similarity between emotional and saliency maps is modulated by the scenes’ arousal and valence ratings: the more negative and high-arousing content, the less it was salient. Simultaneously, the negative and high-arousing content was the easiest to identify by the participants, as shown by the highest inter-individual agreement in the selections. Our results support the “affective gap” hypothesis, i.e., decoupling of emotional meaning from image’s formal features. The Emotional Maps Database created for this study, proven useful in gaze fixation prediction, is available online for scientific use.","Meaning maps, Saliency, Emotion, Arousal, Natural scenes, Key objects",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Rieder R,Raposo AB,Pinho MS",,A methodology to specify three-dimensional interaction using Petri Nets,Journal of Visual Languages & Computing,2010,21,3,136-156,,,,,2010,,1045-926X,https://www.sciencedirect.com/science/article/pii/S1045926X10000091;http://dx.doi.org/10.1016/j.jvlc.2010.01.002,10.1016/j.jvlc.2010.01.002,"This work presents a methodology to formally model and to build three-dimensional interaction tasks in virtual environments using three different tools: Petri Nets, the Interaction Technique Decomposition taxonomy, and Object-Oriented techniques. User operations in the virtual environment are represented as Petri Net nodes; these nodes, when linked, represent the interaction process stages. In our methodology, places represent all the states an application can reach, transitions define the conditions to start an action, and tokens embody the data manipulated by the application. As a result of this modeling process we automatically generate the core of the application's source code. We also use a Petri Net execution library to run the application code. In order to facilitate the application modeling, we have adapted Dia, a well-known graphical diagram editor, to support Petri Nets creation and code generation. The integration of these approaches results in a modular application, based on Petri Nets formalism that allows for the specification of an interaction task and for the reuse of developed blocks in new virtual environment projects.","Interaction tasks, Petri Nets, Specification, Code generation",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Deya A,Schott R",,On stochastic calculus with respect to q-Brownian motion,Journal of Functional Analysis,2018,274,4,1047-1075,,,,,2018,,0022-1236,https://www.sciencedirect.com/science/article/pii/S0022123617303336;http://dx.doi.org/10.1016/j.jfa.2017.08.019,10.1016/j.jfa.2017.08.019,"Following the approach and the terminology introduced in Deya and Schott (2013) [6], we construct a product Lévy area above the q-Brownian motion (for q∈[0,1)) and use this object to study differential equations driven by the process. We also provide a detailed comparison between the resulting “rough” integral and the stochastic “Itô” integral exhibited by Donati-Martin (2003) [7].","Non-commutative stochastic calculus, -Brownian motion, Rough paths theory",,,,,,,,,,,,,,,,,,,,,
